id_estrella,clasificacion,periodo_orbital,duracion_transito,profundidad_transito,radio_planeta,indice_probabilidad_planeta,equilibrio_temperatura,radio_estrella,probabilidad_planeta
8644365,CANDIDATE,10.54841329,1.872,102.9,3.89,1.0,899.0,1.092,ALTO
10793576,CANDIDATE,10.90752977,2.764,186.0,1.58,1.0,955.0,1.147,ALTO
6947668,CANDIDATE,14.0545718,4.066,274.3,1.45,1.0,711.0,0.88,ALTO
3219037,CANDIDATE,10.00506974,3.481,143.3,1.11,1.0,849.0,0.924,ALTO
8905246,CANDIDATE,27.63714708,1.7277,735.5,6.96,1.0,816.0,2.427,ALTO
8121328,CANDIDATE,19.0689513,12.462,169.3,1.63,1.0,627.0,0.889,ALTO
4263529,CANDIDATE,10.10404351,1.0022,1322.4,4.05,1.0,752.0,0.831,ALTO
4820550,CANDIDATE,202.1168173,4.683,2701.2,5.8,1.0,286.0,0.917,ALTO
10281221,CANDIDATE,0.582895412,1.0528,587.5,5.87,1.0,2347.0,1.009,ALTO
7017372,CANDIDATE,5.24088367,3.3656,8531.2,12.74,1.0,1320.0,1.305,ALTO
6887030,CANDIDATE,5.44085762,2.119,137.5,0.97,1.0,892.0,0.762,ALTO
5008245,CANDIDATE,2.60720833,2.6452,3149.7,7.31,1.0,1561.0,1.236,ALTO
6507433,CANDIDATE,4.7425521,1.11,3583.0,7.27,1.0,1159.0,1.053,ALTO
8765560,CANDIDATE,47.1096306,5.741,752.2,78.98,1.0,751.0,2.78,ALTO
5211199,CANDIDATE,6.68231249,3.251,48.7,2.09,1.0,1350.0,2.506,ALTO
8189801,CANDIDATE,0.66682654,0.7847,511.6,1.49,1.0,1183.0,0.554,ALTO
10028352,CANDIDATE,1.38680229,1.7065,242.3,29.33,1.0,2530.0,2.037,ALTO
10917681,CANDIDATE,12.89623554,2.625,426.6,2.55,1.0,783.0,0.923,ALTO
10352333,CANDIDATE,1.570592397,0.623,214.4,1.37,1.0,1480.0,0.921,ALTO
12253474,CANDIDATE,6.422943288,1.0815,261.4,1.66,1.0,1034.0,1.016,ALTO
9904006,CANDIDATE,20.1890396,6.251,112.1,1.39,1.0,794.0,1.267,ALTO
9758032,CANDIDATE,1.332035996,1.391,136.8,0.85,1.0,1365.0,0.73,ALTO
9634821,CANDIDATE,5.47715718,1.3849,568.4,2.17,1.0,892.0,0.93,ALTO
6509282,CANDIDATE,3.98916186,1.913,318.0,28.1,1.0,3293.0,16.187,ALTO
6776555,CANDIDATE,5.43361347,1.0338,1421.0,2.09,1.0,548.0,0.566,ALTO
8741367,CANDIDATE,0.9886684,2.023,126.6,3.18,1.0,3183.0,2.773,ALTO
10813078,CANDIDATE,10.552241908,2.7355,954.0,1.75,1.0,485.0,0.585,ALTO
8105719,CANDIDATE,148.179343,12.733,466.6,2.52,1.0,367.0,1.183,ALTO
8158429,CANDIDATE,31.707574649,7.6771,787.3,2.96,1.0,547.0,0.865,ALTO
8197406,CANDIDATE,4.15472242,1.791,2243.0,23.47,1.0,2292.0,3.359,ALTO
10090854,CANDIDATE,12.63063129,2.212,300.8,1.37,1.0,689.0,0.798,ALTO
7377343,CANDIDATE,7.95445779,4.6012,6269.4,9.5,1.0,1064.0,1.196,ALTO
8396288,CANDIDATE,8.5852872,2.834,1406.0,3.02,1.0,777.0,0.818,ALTO
8429817,CANDIDATE,6.263491873,0.8513,2829.0,6.46,1.0,1180.0,1.194,ALTO
11520114,CANDIDATE,7.07987663,2.589,309.8,1.36,1.0,738.0,0.806,ALTO
10967168,CANDIDATE,22.2659599,4.816,61.3,1.18,1.0,896.0,1.492,ALTO
11081504,CANDIDATE,9.6183111,4.215,25.0,0.85,1.0,1142.0,1.665,ALTO
9655711,CANDIDATE,12.7143635,3.101,524.8,2.2,1.0,785.0,0.962,ALTO
5816144,CANDIDATE,12.4970599,3.877,180.0,1.44,1.0,839.0,1.021,ALTO
7825899,CANDIDATE,28.8672107,3.782,347.1,1.51,1.0,493.0,0.837,ALTO
11856178,CANDIDATE,9.13315062,2.1557,231.2,1.48,1.0,900.0,0.964,ALTO
7375348,CANDIDATE,47.7439509,2.99,96.9,1.74,1.0,575.0,1.292,ALTO
7983117,CANDIDATE,25.0901574,8.273,37.7,1.35,1.0,852.0,1.788,ALTO
8362974,CANDIDATE,2.71772323,3.22,70.3,0.72,1.0,1123.0,0.874,ALTO
3765917,CANDIDATE,11.8187288,4.017,249.0,2.09,1.0,919.0,1.328,ALTO
3854496,CANDIDATE,9.4588054,3.66,270.0,1.78,1.0,943.0,1.066,ALTO
11241560,CANDIDATE,6.96197304,2.806,151.3,0.97,1.0,778.0,0.814,ALTO
11282568,CANDIDATE,1.320499473,1.184,204.0,18.94,1.0,4477.0,13.454,ALTO
11288772,CANDIDATE,1.36752316,1.208,61.0,0.82,1.0,1684.0,1.048,ALTO
6019971,CANDIDATE,7.1356633,1.789,255.5,1.38,1.0,751.0,0.793,ALTO
2422820,CANDIDATE,13.8911152,5.062,204.9,1.12,1.0,674.0,0.79,ALTO
10396708,CANDIDATE,8.50207749,3.057,117.3,0.75,1.0,679.0,0.715,ALTO
5171707,CANDIDATE,0.813998812,0.675,183.4,1.36,1.0,1933.0,0.989,ALTO
9596064,CANDIDATE,1.74145041,1.712,370.6,1.46,1.0,1234.0,0.764,ALTO
6187508,CANDIDATE,2.28494301,1.01,161.8,1.0,1.0,1180.0,0.789,ALTO
7939761,CANDIDATE,22.2548897,13.454,83.8,2.16,1.0,899.0,2.388,ALTO
8613446,CANDIDATE,1.01485981,1.65,243.0,1.61,1.0,1928.0,1.024,ALTO
10546063,CANDIDATE,10.6982275,3.198,246.0,1.73,1.0,919.0,1.097,ALTO
8760760,CANDIDATE,2.68814059,1.12,145.2,0.92,1.0,1135.0,0.734,ALTO
10680424,CANDIDATE,0.92623983,1.267,411.4,1.16,1.0,1208.0,0.591,ALTO
12016243,CANDIDATE,11.8436119,6.044,199.3,1.41,1.0,830.0,0.999,ALTO
12208631,CANDIDATE,0.912351255,1.072,111.8,1.46,1.0,1840.0,1.036,ALTO
12304728,CANDIDATE,3.14735789,3.643,51.8,3.45,1.0,2209.0,4.93,ALTO
4939265,CANDIDATE,4.84505985,2.078,298.4,1.54,1.0,723.0,0.714,ALTO
3230805,CANDIDATE,6.65171459,2.325,151.5,0.84,1.0,713.0,0.686,ALTO
11092783,CANDIDATE,5.15998178,3.356,412.4,19.07,1.0,574.0,0.534,ALTO
3748855,CANDIDATE,4.37198905,2.177,103.7,0.93,1.0,1085.0,0.919,ALTO
6628926,CANDIDATE,2.564012541,0.9433,2551.9,7.27,1.0,1720.0,1.428,ALTO
6670610,CANDIDATE,8.9429645,1.803,233.5,0.89,1.0,536.0,0.594,ALTO
7447895,CANDIDATE,2.405625303,0.6283,163.5,1.11,1.0,1180.0,0.83,ALTO
7461521,CANDIDATE,0.7735301,1.335,185.4,1.87,1.0,2474.0,1.35,ALTO
9203154,CANDIDATE,0.839907158,1.019,119.6,0.92,1.0,1640.0,0.853,ALTO
9221627,CANDIDATE,1.7613778,1.355,359.3,2.32,1.0,1824.0,1.207,ALTO
4735826,CANDIDATE,4.02018903,3.616,18.5,0.6,1.0,1337.0,1.376,ALTO
10407191,CANDIDATE,0.93420696,3.5,,,1.0,,,ALTO
10920281,CANDIDATE,3.65034525,1.527,253.2,0.72,1.0,578.0,0.45,ALTO
9142714,CANDIDATE,1.12625975,3.62,,,1.0,,,ALTO
12307496,CANDIDATE,0.805941833,1.4432,3180.4,29.85,1.0,1498.0,0.672,ALTO
11818800,CANDIDATE,40.4195037,3.362,6256.0,7.51,0.999,467.0,0.781,ALTO
9414417,CANDIDATE,53.5057611,10.5616,195.6,2.52,0.999,675.0,1.762,ALTO
4274548,CANDIDATE,6.80082032,1.9883,699.9,1.88,0.999,697.0,0.688,ALTO
4466677,CANDIDATE,42.0370662,6.282,266.8,1.66,0.999,527.0,0.96,ALTO
11570749,CANDIDATE,46.2991052,5.2481,854.9,4.33,0.999,592.0,1.507,ALTO
10158418,CANDIDATE,5.007414194,1.3584,4413.9,8.8,0.999,1114.0,1.042,ALTO
11073656,CANDIDATE,1.834277283,1.7499,286.5,1.64,0.999,1459.0,0.958,ALTO
7449554,CANDIDATE,2.42088277,2.812,223.3,2.27,0.999,1616.0,1.53,ALTO
6525946,CANDIDATE,6.78341325,3.5437,501.2,20.75,0.999,2628.0,8.769,ALTO
4670217,CANDIDATE,18.1209388,3.781,504.2,1.68,0.999,543.0,0.774,ALTO
3002478,CANDIDATE,6.35705314,1.324,272.2,1.59,0.999,990.0,0.96,ALTO
8259713,CANDIDATE,27.8813154,6.346,209.2,1.54,0.999,681.0,1.055,ALTO
8873090,CANDIDATE,10.16435076,6.017,37.7,1.99,0.999,1389.0,2.71,ALTO
9958387,CANDIDATE,237.787237,10.509,1627.7,9.91,0.999,354.0,1.853,ALTO
5613821,CANDIDATE,5.06092282,2.586,71.6,0.98,0.999,998.0,0.911,ALTO
12168993,CANDIDATE,4.21223579,7.898,116.4,1.04,0.999,887.0,0.7,ALTO
